iter	Passed	Remaining
1331	49292	2516
1332	49331	2479
1333	49364	2442
1334	49401	2405
1335	49438	2368
1336	49476	2331
1337	49513	2294
1338	49551	2257
1339	49589	2220
1340	49627	2183
1341	49664	2146
1342	49701	2109
1343	49738	2072
1344	49776	2035
1345	49815	1998
1346	49852	1961
1347	49891	1924
1348	49928	1887
1349	49967	1850
1350	50005	1813
1351	50042	1776
1352	50079	1739
1353	50117	1702
1354	50156	1665
1355	50194	1628
1356	50231	1591
1357	50269	1554
1358	50305	1517
1359	50343	1480
1360	50381	1443
1361	50418	1406
1362	50459	1369
1363	50498	1332
1364	50534	1295
1365	50569	1258
1366	50605	1221
1367	50642	1184
1368	50678	1147
1369	50714	1110
1370	50750	1073
1371	50786	1036
1372	50821	999
1373	50858	962
1374	50894	925
1375	50930	888
1376	50966	851
1377	51002	814
1378	51039	777
1379	51074	740
1380	51111	703
1381	51148	666
1382	51183	629
1383	51220	592
1384	51257	555
1385	51294	518
1386	51330	481
1387	51366	444
1388	51404	407
1389	51439	370
1390	51476	333
1391	51511	296
1392	51548	259
1393	51584	222
1394	51620	185
1395	51656	148
1396	51692	111
1397	51728	74
1398	51765	37
1399	51801	0
